Date,naive_pos,naive_neg,fits_pos,fits_neg
2017-02-01 00:00:00+00:00,0.46755620604380904,0.027699087833752502,0.46755620604380904,0.027699087833752502
2017-02-02 00:00:00+00:00,0.0012653377489180002,0.4880055317335056,0.0013378645526240002,0.000419523130403
2017-02-03 00:00:00+00:00,0.5052384734153741,0.000679060409311,0.5052384734153741,0.000679060409311
2017-02-06 00:00:00+00:00,0.0024247535717823337,0.00010544147274503569,0.0033532129746160003,0.00010198790914705352
2017-02-07 00:00:00+00:00,0.06478398693434367,0.010546573510509333,0.007646682155609001,0.00023624451569000002
2017-02-08 00:00:00+00:00,0.029076935403281337,0.0005016700015396668,0.043400682945502506,0.0005926701705895
2017-02-09 00:00:00+00:00,0.010499359035747502,0.000160024101205,0.020634673535823003,0.000184012620593
2017-02-10 00:00:00+00:00,0.07466480268825133,0.000293501512108,0.07466480268825133,0.000293501512108
2017-02-13 00:00:00+00:00,0.3443095527957964,0.0002651364144786667,0.033060166984796004,0.00027173408307100004
2017-02-14 00:00:00+00:00,,,,
2017-02-15 00:00:00+00:00,,,,
2017-02-16 00:00:00+00:00,0.9731013476848596,0.00036685721715900004,0.9731013476848596,0.00036685721715900004
2017-02-17 00:00:00+00:00,0.001450630370527,0.00010863046918485039,0.001450630370527,0.00010863046918485039
2017-02-21 00:00:00+00:00,0.546075403690338,0.0007231028866950001,,
2017-02-22 00:00:00+00:00,0.0390578634542175,0.205278125180484,0.049056474488072675,0.0002633687836346667
2017-02-23 00:00:00+00:00,0.4979286075249545,0.00016287961079755958,0.6638475228489064,0.00017722134847007946
2017-02-24 00:00:00+00:00,0.010896638967096,0.00017379755445200002,0.010896638967096,0.00017379755445200002
2017-02-27 00:00:00+00:00,0.0012777643278240002,0.00011224397167000001,,
2017-02-28 00:00:00+00:00,,,,
2017-03-01 00:00:00+00:00,0.3554228445980692,0.2021517146611584,0.444009998813271,0.0030796812206970005
2017-03-02 00:00:00+00:00,0.997063815593719,0.00022346536570600002,0.997063815593719,0.00022346536570600002
2017-03-03 00:00:00+00:00,,,,
2017-03-06 00:00:00+00:00,0.33935967029052866,0.1476047195925879,0.9962359070777891,0.000253381003858
2017-03-07 00:00:00+00:00,0.49992307616048454,0.00024094811669750002,0.9996267557144161,0.00026530286413600004
2017-03-08 00:00:00+00:00,0.026606487110257003,0.000255049410043,0.026606487110257003,0.000255049410043
2017-03-09 00:00:00+00:00,0.16641169786453203,0.00044491697917600006,0.16641169786453203,0.00044491697917600006
2017-03-10 00:00:00+00:00,0.837803244590759,0.000562676403205,0.837803244590759,0.000562676403205
2017-03-13 00:00:00+00:00,0.12256803363561601,0.00042656643199700004,0.12256803363561601,0.00042656643199700004
2017-03-14 00:00:00+00:00,0.0026615660171950004,0.00042635443969600003,,
2017-03-15 00:00:00+00:00,0.015813951298089667,0.00033124583812066676,0.021074985263112002,0.000350321599398
2017-03-16 00:00:00+00:00,0.001237343763932,0.08663957566022801,0.001237343763932,0.08663957566022801
2017-03-17 00:00:00+00:00,0.4997945541690565,0.0002211544997405,0.4997945541690565,0.0002211544997405
2017-03-20 00:00:00+00:00,0.10520076751708901,0.00040252317558000004,0.10520076751708901,0.00040252317558000004
2017-03-21 00:00:00+00:00,0.206601748883258,0.00036273504520036606,0.0010735839896365,9.947680155154907e-05
2017-03-22 00:00:00+00:00,0.999518990516662,0.00021166959777400003,0.999518990516662,0.00021166959777400003
2017-03-23 00:00:00+00:00,0.6660145161828644,0.32596681480451134,0.49998581979889406,0.48827892361441605
2017-03-24 00:00:00+00:00,0.07818974368274151,0.4507721223635595,0.13997879624366702,0.001279027899727
2017-03-27 00:00:00+00:00,,,,
2017-03-28 00:00:00+00:00,0.02239572443068,0.0026945201680060003,0.02239572443068,0.0026945201680060003
2017-03-29 00:00:00+00:00,0.6391789751127359,0.20207274833228403,0.7323893109957375,0.0052805405187726666
2017-03-30 00:00:00+00:00,0.086362279951572,0.000424894649768,0.086362279951572,0.000424894649768
2017-03-31 00:00:00+00:00,0.234096735715866,0.0005552586517290001,0.234096735715866,0.0005552586517290001
2017-04-03 00:00:00+00:00,0.44115985048119855,0.000416500872233849,0.00042213225970000003,6.960431346669793e-05
2017-04-04 00:00:00+00:00,0.6737191360443827,0.29472703583208637,0.999615222215652,0.000233573424338
2017-04-05 00:00:00+00:00,0.246886061278928,0.0004883997280555,0.027360433712601002,0.000196162625798
2017-04-06 00:00:00+00:00,0.6751944469017738,0.00030318853012912476,0.49418310141118077,0.0002557995758249683
2017-04-07 00:00:00+00:00,0.004382130282465,0.0011386140831740003,0.007452469784766,0.000213935389183
2017-04-10 00:00:00+00:00,0.620269395411014,0.0007379340095210001,,
2017-04-11 00:00:00+00:00,0.0006533619161922501,0.24778274325217325,0.0006533619161922501,0.24778274325217325
2017-04-12 00:00:00+00:00,0.713945603896198,0.004169103881784571,0.6663860057403017,0.009435940553278668
